geografia_key,ubigeo,dominio_cod,dominio,estrato_cod,estrato,latitud,longitud,altitud
3902,140101,1,Costa Norte,1,De 500 000 a más habitantes,-6.772449436,-79.835630564,33.0514655331
3903,140105,1,Costa Norte,1,De 500 000 a más habitantes,-6.744035597,-79.847917544,24.9985909092
3904,140312,1,Costa Norte,5,De 2 000 a 19 999 habitantes,-6.504762457,-79.858909642,46.4786851238
3905,140301,1,Costa Norte,3,De 50 000 a 99 999 habitantes,-6.695811197,-79.902419102,17.9114818749
3906,140113,1,Costa Norte,5,De 2 000 a 19 999 habitantes,-6.881249466,-79.81779216,30.893427868
3907,140301,1,Costa Norte,3,De 50 000 a 99 999 habitantes,-6.706860541,-79.901447022,18.7003691534
3908,140201,1,Costa Norte,4,De 20 000 a 49 999 habitantes,-6.628692129,-79.789244629,39.4606610148
3909,140110,1,Costa Norte,5,De 2 000 a 19 999 habitantes,-6.848133084,-79.303854341,203.944257337
3910,140103,1,Costa Norte,5,De 2 000 a 19 999 habitantes,-6.909114715,-79.86563175,6.58279682333
3911,140301,1,Costa Norte,3,De 50 000 a 99 999 habitantes,-6.703401109,-79.917304688,24.4838832409
3912,140304,1,Costa Norte,7,Área de Empadronamiento Rural compuesto,-6.333785,-79.801083334,78.0
3913,140304,1,Costa Norte,7,Área de Empadronamiento Rural compuesto,-6.319158966,-79.770469833,91.0
3914,140305,1,Costa Norte,7,Área de Empadronamiento Rural compuesto,-6.529928,-79.917321,46.0
3915,140305,1,Costa Norte,7,Área de Empadronamiento Rural compuesto,-6.537465,-79.900056667,36.0
3916,140107,1,Costa Norte,7,Área de Empadronamiento Rural compuesto,-6.994105,-79.664622,49.0
3917,150120,8,Lima Metropolitana,1,De 500 000 a más habitantes,-12.088891119,-77.066579655,75.1064808989
3918,150128,8,Lima Metropolitana,1,De 500 000 a más habitantes,-12.029160402,-77.033899721,138.492482978
3919,150105,8,Lima Metropolitana,1,De 500 000 a más habitantes,-12.066615729,-77.053114881,112.017861109
3920,150123,8,Lima Metropolitana,1,De 500 000 a más habitantes,-12.221780586,-76.849107727,126.981949698
3921,150108,8,Lima Metropolitana,1,De 500 000 a más habitantes,-12.181691845,-77.004405362,37.4826912187
3922,150132,8,Lima Metropolitana,1,De 500 000 a más habitantes,-11.966400689,-76.997550207,265.59737522
3923,150115,8,Lima Metropolitana,1,De 500 000 a más habitantes,-12.080270159,-77.017834469,149.373090026
3924,150135,8,Lima Metropolitana,1,De 500 000 a más habitantes,-12.020301189,-77.075357953,75.7056743062
3925,150134,8,Lima Metropolitana,1,De 500 000 a más habitantes,-12.077755761,-77.006245051,168.011884608
3926,150122,8,Lima Metropolitana,1,De 500 000 a más habitantes,-12.13091388,-77.028309976,80.7456804056
3927,150101,8,Lima Metropolitana,1,De 500 000 a más habitantes,-12.051118389,-77.01357852,180.125433325
3928,150120,8,Lima Metropolitana,1,De 500 000 a más habitantes,-12.091968659,-77.06719911,72.6852273637
3929,150117,8,Lima Metropolitana,1,De 500 000 a más habitantes,-12.009879965,-77.073943313,71.0306975831
