vivienda_key,tipo_vivienda_cod,tipo_vivienda,material_pared_cod,material_pared,material_piso_cod,material_piso,material_techo_cod,material_techo,tenencia_vivienda_cod,tenencia_vivienda
152,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,6.0,Tierra,6.0,"Triplay, estera o carrizo",6,Cedida por otro hogar o institución
153,1.0,Casa independiente,7.0,Madera,5.0,Cemento,5.0,Caña o estera con torta de barro o cemento,2,Propia totalmente pagada
154,1.0,Casa independiente,7.0,Madera,5.0,Cemento,5.0,Caña o estera con torta de barro o cemento,3,Propia por invasión
155,1.0,Casa independiente,7.0,Madera,5.0,Cemento,6.0,"Triplay, estera o carrizo",3,Propia por invasión
156,6.0,Vivienda improvisada,9.0,Otro material,5.0,Cemento,8.0,Otro material,3,Propia por invasión
157,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,5.0,Cemento,5.0,Caña o estera con torta de barro o cemento,6,Cedida por otro hogar o institución
158,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,4.0,Madera,5.0,Caña o estera con torta de barro o cemento,3,Propia por invasión
159,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,3.0,"Losetas, terrazos o similares",1.0,Concreto armado,3,Propia por invasión
160,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,3.0,"Losetas, terrazos o similares",5.0,Caña o estera con torta de barro o cemento,2,Propia totalmente pagada
161,-1.0,No especificado,-1.0,No especificado,-1.0,No especificado,-1.0,No especificado,2,Propia totalmente pagada
162,1.0,Casa independiente,3.0,Adobe,3.0,"Losetas, terrazos o similares",5.0,Caña o estera con torta de barro o cemento,2,Propia totalmente pagada
163,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,5.0,Cemento,5.0,Caña o estera con torta de barro o cemento,1,Alquilada
164,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,3.0,"Losetas, terrazos o similares",5.0,Caña o estera con torta de barro o cemento,1,Alquilada
165,1.0,Casa independiente,3.0,Adobe,6.0,Tierra,5.0,Caña o estera con torta de barro o cemento,2,Propia totalmente pagada
166,1.0,Casa independiente,9.0,Otro material,5.0,Cemento,8.0,Otro material,6,Cedida por otro hogar o institución
167,4.0,Vivienda en casa de vecindad,4.0,Tapia,6.0,Tierra,4.0,"Planchas de calamina, fibra de cemento o similares",2,Propia totalmente pagada
168,1.0,Casa independiente,8.0,"Triplay, calamina o estera",5.0,Cemento,4.0,"Planchas de calamina, fibra de cemento o similares",1,Alquilada
169,1.0,Casa independiente,4.0,Tapia,5.0,Cemento,4.0,"Planchas de calamina, fibra de cemento o similares",1,Alquilada
170,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,4.0,Madera,1.0,Concreto armado,2,Propia totalmente pagada
171,4.0,Vivienda en casa de vecindad,1.0,Ladrillo o bloque de cemento,4.0,Madera,4.0,"Planchas de calamina, fibra de cemento o similares",1,Alquilada
172,1.0,Casa independiente,3.0,Adobe,4.0,Madera,2.0,Madera,6,Cedida por otro hogar o institución
173,1.0,Casa independiente,3.0,Adobe,4.0,Madera,4.0,"Planchas de calamina, fibra de cemento o similares",1,Alquilada
174,3.0,Vivienda en quinta,1.0,Ladrillo o bloque de cemento,5.0,Cemento,1.0,Concreto armado,2,Propia totalmente pagada
175,4.0,Vivienda en casa de vecindad,7.0,Madera,5.0,Cemento,4.0,"Planchas de calamina, fibra de cemento o similares",1,Alquilada
176,4.0,Vivienda en casa de vecindad,7.0,Madera,5.0,Cemento,4.0,"Planchas de calamina, fibra de cemento o similares",6,Cedida por otro hogar o institución
177,1.0,Casa independiente,7.0,Madera,6.0,Tierra,4.0,"Planchas de calamina, fibra de cemento o similares",1,Alquilada
178,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,2.0,"Láminas asfálticas, vinílicos o similares",1.0,Concreto armado,1,Alquilada
179,1.0,Casa independiente,7.0,Madera,6.0,Tierra,2.0,Madera,1,Alquilada
180,1.0,Casa independiente,9.0,Otro material,6.0,Tierra,4.0,"Planchas de calamina, fibra de cemento o similares",6,Cedida por otro hogar o institución
181,1.0,Casa independiente,9.0,Otro material,6.0,Tierra,7.0,Paja u hojas de palmera,2,Propia totalmente pagada
182,1.0,Casa independiente,3.0,Adobe,6.0,Tierra,4.0,"Planchas de calamina, fibra de cemento o similares",3,Propia por invasión
183,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,2.0,"Láminas asfálticas, vinílicos o similares",1.0,Concreto armado,4,Propia comprándola a plazos
184,1.0,Casa independiente,8.0,"Triplay, calamina o estera",6.0,Tierra,5.0,Caña o estera con torta de barro o cemento,3,Propia por invasión
185,1.0,Casa independiente,3.0,Adobe,5.0,Cemento,5.0,Caña o estera con torta de barro o cemento,1,Alquilada
186,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,1.0,Parquet o madera pulida,1.0,Concreto armado,1,Alquilada
187,2.0,Departamento en edificio,1.0,Ladrillo o bloque de cemento,1.0,Parquet o madera pulida,1.0,Concreto armado,1,Alquilada
188,2.0,Departamento en edificio,1.0,Ladrillo o bloque de cemento,5.0,Cemento,4.0,"Planchas de calamina, fibra de cemento o similares",1,Alquilada
189,1.0,Casa independiente,9.0,Otro material,5.0,Cemento,4.0,"Planchas de calamina, fibra de cemento o similares",2,Propia totalmente pagada
190,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,2.0,"Láminas asfálticas, vinílicos o similares",3.0,Tejas,2,Propia totalmente pagada
191,4.0,Vivienda en casa de vecindad,1.0,Ladrillo o bloque de cemento,5.0,Cemento,4.0,"Planchas de calamina, fibra de cemento o similares",1,Alquilada
192,2.0,Departamento en edificio,1.0,Ladrillo o bloque de cemento,1.0,Parquet o madera pulida,1.0,Concreto armado,2,Propia totalmente pagada
193,3.0,Vivienda en quinta,5.0,Quincha,4.0,Madera,4.0,"Planchas de calamina, fibra de cemento o similares",1,Alquilada
194,3.0,Vivienda en quinta,1.0,Ladrillo o bloque de cemento,3.0,"Losetas, terrazos o similares",5.0,Caña o estera con torta de barro o cemento,6,Cedida por otro hogar o institución
195,1.0,Casa independiente,8.0,"Triplay, calamina o estera",5.0,Cemento,8.0,Otro material,2,Propia totalmente pagada
196,3.0,Vivienda en quinta,7.0,Madera,5.0,Cemento,4.0,"Planchas de calamina, fibra de cemento o similares",6,Cedida por otro hogar o institución
197,1.0,Casa independiente,3.0,Adobe,6.0,Tierra,5.0,Caña o estera con torta de barro o cemento,6,Cedida por otro hogar o institución
198,1.0,Casa independiente,3.0,Adobe,5.0,Cemento,5.0,Caña o estera con torta de barro o cemento,3,Propia por invasión
199,1.0,Casa independiente,8.0,"Triplay, calamina o estera",6.0,Tierra,5.0,Caña o estera con torta de barro o cemento,2,Propia totalmente pagada
200,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,2.0,"Láminas asfálticas, vinílicos o similares",4.0,"Planchas de calamina, fibra de cemento o similares",6,Cedida por otro hogar o institución
201,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,3.0,"Losetas, terrazos o similares",4.0,"Planchas de calamina, fibra de cemento o similares",3,Propia por invasión
202,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,6.0,Tierra,4.0,"Planchas de calamina, fibra de cemento o similares",1,Alquilada
203,5.0,Choza o cabaña,7.0,Madera,4.0,Madera,7.0,Paja u hojas de palmera,2,Propia totalmente pagada
204,5.0,Choza o cabaña,7.0,Madera,4.0,Madera,4.0,"Planchas de calamina, fibra de cemento o similares",2,Propia totalmente pagada
205,5.0,Choza o cabaña,7.0,Madera,4.0,Madera,7.0,Paja u hojas de palmera,6,Cedida por otro hogar o institución
206,1.0,Casa independiente,7.0,Madera,6.0,Tierra,5.0,Caña o estera con torta de barro o cemento,2,Propia totalmente pagada
207,4.0,Vivienda en casa de vecindad,1.0,Ladrillo o bloque de cemento,2.0,"Láminas asfálticas, vinílicos o similares",4.0,"Planchas de calamina, fibra de cemento o similares",2,Propia totalmente pagada
208,3.0,Vivienda en quinta,1.0,Ladrillo o bloque de cemento,5.0,Cemento,4.0,"Planchas de calamina, fibra de cemento o similares",1,Alquilada
209,1.0,Casa independiente,9.0,Otro material,5.0,Cemento,1.0,Concreto armado,2,Propia totalmente pagada
210,1.0,Casa independiente,9.0,Otro material,5.0,Cemento,4.0,"Planchas de calamina, fibra de cemento o similares",6,Cedida por otro hogar o institución
211,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,2.0,"Láminas asfálticas, vinílicos o similares",1.0,Concreto armado,3,Propia por invasión
212,2.0,Departamento en edificio,1.0,Ladrillo o bloque de cemento,2.0,"Láminas asfálticas, vinílicos o similares",1.0,Concreto armado,5,Cedida por centro de trabajo
213,4.0,Vivienda en casa de vecindad,4.0,Tapia,4.0,Madera,4.0,"Planchas de calamina, fibra de cemento o similares",1,Alquilada
214,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,4.0,Madera,4.0,"Planchas de calamina, fibra de cemento o similares",6,Cedida por otro hogar o institución
215,4.0,Vivienda en casa de vecindad,1.0,Ladrillo o bloque de cemento,4.0,Madera,2.0,Madera,1,Alquilada
216,4.0,Vivienda en casa de vecindad,1.0,Ladrillo o bloque de cemento,4.0,Madera,4.0,"Planchas de calamina, fibra de cemento o similares",2,Propia totalmente pagada
217,4.0,Vivienda en casa de vecindad,1.0,Ladrillo o bloque de cemento,5.0,Cemento,2.0,Madera,6,Cedida por otro hogar o institución
218,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,4.0,Madera,2.0,Madera,6,Cedida por otro hogar o institución
219,4.0,Vivienda en casa de vecindad,1.0,Ladrillo o bloque de cemento,4.0,Madera,2.0,Madera,2,Propia totalmente pagada
220,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,5.0,Cemento,2.0,Madera,6,Cedida por otro hogar o institución
221,4.0,Vivienda en casa de vecindad,7.0,Madera,4.0,Madera,4.0,"Planchas de calamina, fibra de cemento o similares",1,Alquilada
222,1.0,Casa independiente,4.0,Tapia,6.0,Tierra,4.0,"Planchas de calamina, fibra de cemento o similares",5,Cedida por centro de trabajo
223,1.0,Casa independiente,7.0,Madera,5.0,Cemento,4.0,"Planchas de calamina, fibra de cemento o similares",5,Cedida por centro de trabajo
224,1.0,Casa independiente,7.0,Madera,5.0,Cemento,2.0,Madera,2,Propia totalmente pagada
225,1.0,Casa independiente,9.0,Otro material,4.0,Madera,4.0,"Planchas de calamina, fibra de cemento o similares",2,Propia totalmente pagada
226,1.0,Casa independiente,9.0,Otro material,7.0,Otro material,4.0,"Planchas de calamina, fibra de cemento o similares",2,Propia totalmente pagada
227,1.0,Casa independiente,5.0,Quincha,5.0,Cemento,4.0,"Planchas de calamina, fibra de cemento o similares",3,Propia por invasión
228,1.0,Casa independiente,5.0,Quincha,5.0,Cemento,4.0,"Planchas de calamina, fibra de cemento o similares",2,Propia totalmente pagada
229,1.0,Casa independiente,5.0,Quincha,5.0,Cemento,4.0,"Planchas de calamina, fibra de cemento o similares",1,Alquilada
230,3.0,Vivienda en quinta,1.0,Ladrillo o bloque de cemento,2.0,"Láminas asfálticas, vinílicos o similares",1.0,Concreto armado,2,Propia totalmente pagada
231,4.0,Vivienda en casa de vecindad,1.0,Ladrillo o bloque de cemento,1.0,Parquet o madera pulida,1.0,Concreto armado,6,Cedida por otro hogar o institución
232,1.0,Casa independiente,3.0,Adobe,6.0,Tierra,7.0,Paja u hojas de palmera,2,Propia totalmente pagada
233,4.0,Vivienda en casa de vecindad,1.0,Ladrillo o bloque de cemento,3.0,"Losetas, terrazos o similares",1.0,Concreto armado,2,Propia totalmente pagada
234,1.0,Casa independiente,9.0,Otro material,6.0,Tierra,7.0,Paja u hojas de palmera,6,Cedida por otro hogar o institución
235,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,3.0,"Losetas, terrazos o similares",1.0,Concreto armado,4,Propia comprándola a plazos
236,4.0,Vivienda en casa de vecindad,1.0,Ladrillo o bloque de cemento,2.0,"Láminas asfálticas, vinílicos o similares",4.0,"Planchas de calamina, fibra de cemento o similares",1,Alquilada
237,1.0,Casa independiente,2.0,Piedra o sillar con cal o cemento,5.0,Cemento,4.0,"Planchas de calamina, fibra de cemento o similares",6,Cedida por otro hogar o institución
238,1.0,Casa independiente,5.0,Quincha,6.0,Tierra,4.0,"Planchas de calamina, fibra de cemento o similares",6,Cedida por otro hogar o institución
239,1.0,Casa independiente,9.0,Otro material,5.0,Cemento,4.0,"Planchas de calamina, fibra de cemento o similares",3,Propia por invasión
240,1.0,Casa independiente,5.0,Quincha,5.0,Cemento,4.0,"Planchas de calamina, fibra de cemento o similares",6,Cedida por otro hogar o institución
241,4.0,Vivienda en casa de vecindad,5.0,Quincha,6.0,Tierra,4.0,"Planchas de calamina, fibra de cemento o similares",2,Propia totalmente pagada
242,1.0,Casa independiente,9.0,Otro material,6.0,Tierra,4.0,"Planchas de calamina, fibra de cemento o similares",3,Propia por invasión
243,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,3.0,"Losetas, terrazos o similares",4.0,"Planchas de calamina, fibra de cemento o similares",1,Alquilada
244,1.0,Casa independiente,7.0,Madera,3.0,"Losetas, terrazos o similares",4.0,"Planchas de calamina, fibra de cemento o similares",2,Propia totalmente pagada
245,3.0,Vivienda en quinta,1.0,Ladrillo o bloque de cemento,5.0,Cemento,4.0,"Planchas de calamina, fibra de cemento o similares",6,Cedida por otro hogar o institución
246,1.0,Casa independiente,7.0,Madera,3.0,"Losetas, terrazos o similares",4.0,"Planchas de calamina, fibra de cemento o similares",6,Cedida por otro hogar o institución
247,1.0,Casa independiente,7.0,Madera,5.0,Cemento,4.0,"Planchas de calamina, fibra de cemento o similares",4,Propia comprándola a plazos
248,4.0,Vivienda en casa de vecindad,7.0,Madera,6.0,Tierra,4.0,"Planchas de calamina, fibra de cemento o similares",2,Propia totalmente pagada
249,5.0,Choza o cabaña,8.0,"Triplay, calamina o estera",4.0,Madera,7.0,Paja u hojas de palmera,2,Propia totalmente pagada
250,1.0,Casa independiente,6.0,Piedra con barro,5.0,Cemento,4.0,"Planchas de calamina, fibra de cemento o similares",6,Cedida por otro hogar o institución
251,2.0,Departamento en edificio,1.0,Ladrillo o bloque de cemento,5.0,Cemento,4.0,"Planchas de calamina, fibra de cemento o similares",6,Cedida por otro hogar o institución
252,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,4.0,Madera,5.0,Caña o estera con torta de barro o cemento,2,Propia totalmente pagada
253,1.0,Casa independiente,8.0,"Triplay, calamina o estera",5.0,Cemento,6.0,"Triplay, estera o carrizo",2,Propia totalmente pagada
254,1.0,Casa independiente,6.0,Piedra con barro,4.0,Madera,4.0,"Planchas de calamina, fibra de cemento o similares",1,Alquilada
255,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,6.0,Tierra,5.0,Caña o estera con torta de barro o cemento,2,Propia totalmente pagada
256,1.0,Casa independiente,9.0,Otro material,6.0,Tierra,3.0,Tejas,6,Cedida por otro hogar o institución
257,1.0,Casa independiente,3.0,Adobe,5.0,Cemento,2.0,Madera,6,Cedida por otro hogar o institución
258,1.0,Casa independiente,3.0,Adobe,5.0,Cemento,3.0,Tejas,1,Alquilada
259,1.0,Casa independiente,8.0,"Triplay, calamina o estera",6.0,Tierra,6.0,"Triplay, estera o carrizo",3,Propia por invasión
260,1.0,Casa independiente,8.0,"Triplay, calamina o estera",6.0,Tierra,4.0,"Planchas de calamina, fibra de cemento o similares",1,Alquilada
261,1.0,Casa independiente,4.0,Tapia,5.0,Cemento,4.0,"Planchas de calamina, fibra de cemento o similares",3,Propia por invasión
262,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,5.0,Cemento,3.0,Tejas,1,Alquilada
263,1.0,Casa independiente,3.0,Adobe,3.0,"Losetas, terrazos o similares",3.0,Tejas,2,Propia totalmente pagada
264,1.0,Casa independiente,3.0,Adobe,4.0,Madera,3.0,Tejas,1,Alquilada
265,2.0,Departamento en edificio,1.0,Ladrillo o bloque de cemento,3.0,"Losetas, terrazos o similares",4.0,"Planchas de calamina, fibra de cemento o similares",1,Alquilada
266,2.0,Departamento en edificio,1.0,Ladrillo o bloque de cemento,1.0,Parquet o madera pulida,1.0,Concreto armado,4,Propia comprándola a plazos
267,-1.0,No especificado,-1.0,No especificado,-1.0,No especificado,-1.0,No especificado,1,Alquilada
268,1.0,Casa independiente,2.0,Piedra o sillar con cal o cemento,5.0,Cemento,1.0,Concreto armado,1,Alquilada
269,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,1.0,Parquet o madera pulida,1.0,Concreto armado,6,Cedida por otro hogar o institución
270,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,5.0,Cemento,4.0,"Planchas de calamina, fibra de cemento o similares",7,Otra forma
271,1.0,Casa independiente,2.0,Piedra o sillar con cal o cemento,5.0,Cemento,4.0,"Planchas de calamina, fibra de cemento o similares",3,Propia por invasión
272,1.0,Casa independiente,9.0,Otro material,5.0,Cemento,8.0,Otro material,2,Propia totalmente pagada
273,1.0,Casa independiente,3.0,Adobe,7.0,Otro material,4.0,"Planchas de calamina, fibra de cemento o similares",1,Alquilada
274,1.0,Casa independiente,6.0,Piedra con barro,7.0,Otro material,4.0,"Planchas de calamina, fibra de cemento o similares",2,Propia totalmente pagada
275,1.0,Casa independiente,6.0,Piedra con barro,6.0,Tierra,4.0,"Planchas de calamina, fibra de cemento o similares",6,Cedida por otro hogar o institución
276,1.0,Casa independiente,6.0,Piedra con barro,6.0,Tierra,4.0,"Planchas de calamina, fibra de cemento o similares",5,Cedida por centro de trabajo
277,1.0,Casa independiente,3.0,Adobe,3.0,"Losetas, terrazos o similares",4.0,"Planchas de calamina, fibra de cemento o similares",6,Cedida por otro hogar o institución
278,4.0,Vivienda en casa de vecindad,8.0,"Triplay, calamina o estera",5.0,Cemento,4.0,"Planchas de calamina, fibra de cemento o similares",1,Alquilada
279,5.0,Choza o cabaña,6.0,Piedra con barro,6.0,Tierra,7.0,Paja u hojas de palmera,6,Cedida por otro hogar o institución
280,4.0,Vivienda en casa de vecindad,1.0,Ladrillo o bloque de cemento,4.0,Madera,1.0,Concreto armado,1,Alquilada
281,1.0,Casa independiente,3.0,Adobe,2.0,"Láminas asfálticas, vinílicos o similares",4.0,"Planchas de calamina, fibra de cemento o similares",2,Propia totalmente pagada
282,1.0,Casa independiente,3.0,Adobe,7.0,Otro material,4.0,"Planchas de calamina, fibra de cemento o similares",6,Cedida por otro hogar o institución
283,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,6.0,Tierra,1.0,Concreto armado,3,Propia por invasión
284,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,1.0,Parquet o madera pulida,1.0,Concreto armado,3,Propia por invasión
285,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,3.0,"Losetas, terrazos o similares",1.0,Concreto armado,7,Otra forma
286,1.0,Casa independiente,4.0,Tapia,4.0,Madera,4.0,"Planchas de calamina, fibra de cemento o similares",1,Alquilada
287,4.0,Vivienda en casa de vecindad,3.0,Adobe,4.0,Madera,2.0,Madera,6,Cedida por otro hogar o institución
288,1.0,Casa independiente,4.0,Tapia,6.0,Tierra,4.0,"Planchas de calamina, fibra de cemento o similares",1,Alquilada
289,1.0,Casa independiente,4.0,Tapia,6.0,Tierra,1.0,Concreto armado,2,Propia totalmente pagada
290,4.0,Vivienda en casa de vecindad,1.0,Ladrillo o bloque de cemento,6.0,Tierra,1.0,Concreto armado,1,Alquilada
291,1.0,Casa independiente,4.0,Tapia,6.0,Tierra,2.0,Madera,1,Alquilada
292,4.0,Vivienda en casa de vecindad,4.0,Tapia,6.0,Tierra,4.0,"Planchas de calamina, fibra de cemento o similares",1,Alquilada
293,4.0,Vivienda en casa de vecindad,4.0,Tapia,5.0,Cemento,4.0,"Planchas de calamina, fibra de cemento o similares",6,Cedida por otro hogar o institución
294,1.0,Casa independiente,3.0,Adobe,6.0,Tierra,7.0,Paja u hojas de palmera,6,Cedida por otro hogar o institución
295,1.0,Casa independiente,2.0,Piedra o sillar con cal o cemento,5.0,Cemento,1.0,Concreto armado,2,Propia totalmente pagada
296,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,5.0,Cemento,5.0,Caña o estera con torta de barro o cemento,3,Propia por invasión
297,1.0,Casa independiente,3.0,Adobe,5.0,Cemento,6.0,"Triplay, estera o carrizo",6,Cedida por otro hogar o institución
298,1.0,Casa independiente,3.0,Adobe,6.0,Tierra,6.0,"Triplay, estera o carrizo",2,Propia totalmente pagada
299,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,1.0,Parquet o madera pulida,4.0,"Planchas de calamina, fibra de cemento o similares",1,Alquilada
300,4.0,Vivienda en casa de vecindad,3.0,Adobe,6.0,Tierra,2.0,Madera,1,Alquilada
301,1.0,Casa independiente,4.0,Tapia,5.0,Cemento,3.0,Tejas,2,Propia totalmente pagada
302,1.0,Casa independiente,4.0,Tapia,5.0,Cemento,3.0,Tejas,6,Cedida por otro hogar o institución
303,4.0,Vivienda en casa de vecindad,4.0,Tapia,6.0,Tierra,3.0,Tejas,2,Propia totalmente pagada
304,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,6.0,Tierra,1.0,Concreto armado,4,Propia comprándola a plazos
305,1.0,Casa independiente,6.0,Piedra con barro,6.0,Tierra,7.0,Paja u hojas de palmera,6,Cedida por otro hogar o institución
306,1.0,Casa independiente,3.0,Adobe,5.0,Cemento,1.0,Concreto armado,6,Cedida por otro hogar o institución
307,2.0,Departamento en edificio,1.0,Ladrillo o bloque de cemento,2.0,"Láminas asfálticas, vinílicos o similares",1.0,Concreto armado,6,Cedida por otro hogar o institución
308,4.0,Vivienda en casa de vecindad,3.0,Adobe,5.0,Cemento,5.0,Caña o estera con torta de barro o cemento,1,Alquilada
309,1.0,Casa independiente,8.0,"Triplay, calamina o estera",7.0,Otro material,6.0,"Triplay, estera o carrizo",6,Cedida por otro hogar o institución
310,1.0,Casa independiente,3.0,Adobe,2.0,"Láminas asfálticas, vinílicos o similares",3.0,Tejas,2,Propia totalmente pagada
311,1.0,Casa independiente,3.0,Adobe,3.0,"Losetas, terrazos o similares",1.0,Concreto armado,6,Cedida por otro hogar o institución
312,3.0,Vivienda en quinta,3.0,Adobe,5.0,Cemento,5.0,Caña o estera con torta de barro o cemento,6,Cedida por otro hogar o institución
313,3.0,Vivienda en quinta,3.0,Adobe,5.0,Cemento,4.0,"Planchas de calamina, fibra de cemento o similares",2,Propia totalmente pagada
314,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,1.0,Parquet o madera pulida,2.0,Madera,2,Propia totalmente pagada
315,2.0,Departamento en edificio,1.0,Ladrillo o bloque de cemento,4.0,Madera,4.0,"Planchas de calamina, fibra de cemento o similares",1,Alquilada
316,2.0,Departamento en edificio,1.0,Ladrillo o bloque de cemento,2.0,"Láminas asfálticas, vinílicos o similares",1.0,Concreto armado,4,Propia comprándola a plazos
317,2.0,Departamento en edificio,1.0,Ladrillo o bloque de cemento,1.0,Parquet o madera pulida,1.0,Concreto armado,6,Cedida por otro hogar o institución
318,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,1.0,Parquet o madera pulida,4.0,"Planchas de calamina, fibra de cemento o similares",2,Propia totalmente pagada
319,1.0,Casa independiente,5.0,Quincha,3.0,"Losetas, terrazos o similares",2.0,Madera,2,Propia totalmente pagada
320,3.0,Vivienda en quinta,1.0,Ladrillo o bloque de cemento,1.0,Parquet o madera pulida,1.0,Concreto armado,6,Cedida por otro hogar o institución
321,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,7.0,Otro material,1.0,Concreto armado,2,Propia totalmente pagada
322,1.0,Casa independiente,7.0,Madera,6.0,Tierra,2.0,Madera,3,Propia por invasión
323,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,5.0,Cemento,2.0,Madera,3,Propia por invasión
324,1.0,Casa independiente,5.0,Quincha,4.0,Madera,5.0,Caña o estera con torta de barro o cemento,6,Cedida por otro hogar o institución
325,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,1.0,Parquet o madera pulida,2.0,Madera,6,Cedida por otro hogar o institución
326,1.0,Casa independiente,7.0,Madera,3.0,"Losetas, terrazos o similares",2.0,Madera,2,Propia totalmente pagada
327,1.0,Casa independiente,8.0,"Triplay, calamina o estera",6.0,Tierra,8.0,Otro material,3,Propia por invasión
328,1.0,Casa independiente,3.0,Adobe,3.0,"Losetas, terrazos o similares",2.0,Madera,1,Alquilada
329,1.0,Casa independiente,8.0,"Triplay, calamina o estera",6.0,Tierra,6.0,"Triplay, estera o carrizo",2,Propia totalmente pagada
330,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,4.0,Madera,1.0,Concreto armado,1,Alquilada
331,3.0,Vivienda en quinta,1.0,Ladrillo o bloque de cemento,5.0,Cemento,4.0,"Planchas de calamina, fibra de cemento o similares",2,Propia totalmente pagada
332,3.0,Vivienda en quinta,1.0,Ladrillo o bloque de cemento,2.0,"Láminas asfálticas, vinílicos o similares",4.0,"Planchas de calamina, fibra de cemento o similares",1,Alquilada
333,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,6.0,Tierra,5.0,Caña o estera con torta de barro o cemento,1,Alquilada
334,1.0,Casa independiente,9.0,Otro material,5.0,Cemento,4.0,"Planchas de calamina, fibra de cemento o similares",1,Alquilada
335,5.0,Choza o cabaña,7.0,Madera,4.0,Madera,8.0,Otro material,2,Propia totalmente pagada
336,4.0,Vivienda en casa de vecindad,1.0,Ladrillo o bloque de cemento,2.0,"Láminas asfálticas, vinílicos o similares",1.0,Concreto armado,2,Propia totalmente pagada
337,4.0,Vivienda en casa de vecindad,1.0,Ladrillo o bloque de cemento,2.0,"Láminas asfálticas, vinílicos o similares",1.0,Concreto armado,6,Cedida por otro hogar o institución
338,4.0,Vivienda en casa de vecindad,7.0,Madera,6.0,Tierra,4.0,"Planchas de calamina, fibra de cemento o similares",1,Alquilada
339,4.0,Vivienda en casa de vecindad,7.0,Madera,5.0,Cemento,4.0,"Planchas de calamina, fibra de cemento o similares",2,Propia totalmente pagada
340,1.0,Casa independiente,3.0,Adobe,6.0,Tierra,4.0,"Planchas de calamina, fibra de cemento o similares",5,Cedida por centro de trabajo
341,4.0,Vivienda en casa de vecindad,1.0,Ladrillo o bloque de cemento,4.0,Madera,4.0,"Planchas de calamina, fibra de cemento o similares",6,Cedida por otro hogar o institución
342,4.0,Vivienda en casa de vecindad,4.0,Tapia,4.0,Madera,4.0,"Planchas de calamina, fibra de cemento o similares",6,Cedida por otro hogar o institución
343,4.0,Vivienda en casa de vecindad,1.0,Ladrillo o bloque de cemento,4.0,Madera,1.0,Concreto armado,6,Cedida por otro hogar o institución
344,4.0,Vivienda en casa de vecindad,4.0,Tapia,4.0,Madera,4.0,"Planchas de calamina, fibra de cemento o similares",2,Propia totalmente pagada
345,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,4.0,Madera,4.0,"Planchas de calamina, fibra de cemento o similares",7,Otra forma
346,1.0,Casa independiente,4.0,Tapia,3.0,"Losetas, terrazos o similares",2.0,Madera,2,Propia totalmente pagada
347,1.0,Casa independiente,7.0,Madera,4.0,Madera,3.0,Tejas,2,Propia totalmente pagada
348,5.0,Choza o cabaña,9.0,Otro material,6.0,Tierra,7.0,Paja u hojas de palmera,2,Propia totalmente pagada
349,2.0,Departamento en edificio,1.0,Ladrillo o bloque de cemento,3.0,"Losetas, terrazos o similares",1.0,Concreto armado,4,Propia comprándola a plazos
350,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,3.0,"Losetas, terrazos o similares",2.0,Madera,2,Propia totalmente pagada
