habitabilidad_key,rango_habitaciones_total,rango_habitaciones_dormir,nbi_vivienda_inadecuada_ind,nbi_hacinamiento_ind,nbi_sin_servicio_higienico_ind,nbi_ninios_no_asisten_ind,nbi_alta_dependencia_ind,categoria_carencias,brecha_multidimensional_ind
242,2 habitaciones,1 dormitorio,0,0,1,1,0,Tres a cuatro carencias,1
243,3 habitaciones,1 dormitorio,0,0,0,0,1,Cinco a más carencias,1
244,2 habitaciones,1 dormitorio,0,1,1,0,1,Cinco a más carencias,1
245,1 habitación,1 dormitorio,0,1,0,0,1,Dos carencias,1
246,4 a 5 habitaciones,3 dormitorios,0,0,0,1,0,Dos carencias,1
247,No especificado,No especificado,0,1,0,0,0,Tres a cuatro carencias,1
248,2 habitaciones,2 dormitorios,0,0,1,0,0,Dos carencias,1
249,4 a 5 habitaciones,3 dormitorios,0,0,0,1,0,Una carencia,0
250,4 a 5 habitaciones,2 dormitorios,0,0,1,0,0,Una carencia,0
251,3 habitaciones,2 dormitorios,0,0,0,1,0,Una carencia,0
252,3 habitaciones,1 dormitorio,1,0,0,0,0,Una carencia,0
253,No especificado,No especificado,0,0,1,0,0,Una carencia,0
254,2 habitaciones,1 dormitorio,0,1,1,0,0,Tres a cuatro carencias,1
255,2 habitaciones,1 dormitorio,1,0,0,1,0,Tres a cuatro carencias,1
256,No especificado,No especificado,1,0,0,0,0,Sin carencias,0
257,3 habitaciones,1 dormitorio,0,0,1,0,0,Una carencia,0
258,3 habitaciones,2 dormitorios,0,0,0,0,1,Dos carencias,1
259,4 a 5 habitaciones,3 dormitorios,0,0,1,0,0,Una carencia,0
260,2 habitaciones,1 dormitorio,0,0,1,0,0,Una carencia,0
261,3 habitaciones,2 dormitorios,0,0,1,0,0,Una carencia,0
262,2 habitaciones,1 dormitorio,0,0,0,1,0,Una carencia,0
263,2 habitaciones,1 dormitorio,0,1,0,0,1,Tres a cuatro carencias,1
264,1 habitación,1 dormitorio,0,1,0,0,1,Cinco a más carencias,1
265,6 a más habitaciones,2 dormitorios,1,0,0,0,0,Tres a cuatro carencias,1
266,6 a más habitaciones,1 dormitorio,0,0,1,0,0,Dos carencias,1
267,2 habitaciones,1 dormitorio,1,0,1,1,0,Tres a cuatro carencias,1
268,2 habitaciones,1 dormitorio,1,1,1,0,0,Tres a cuatro carencias,1
269,No especificado,No especificado,1,1,0,0,0,Dos carencias,1
270,2 habitaciones,1 dormitorio,0,0,0,1,0,Tres a cuatro carencias,1
271,3 habitaciones,2 dormitorios,0,0,0,1,0,Tres a cuatro carencias,1
272,2 habitaciones,1 dormitorio,0,0,0,0,1,Una carencia,0
273,3 habitaciones,3 dormitorios,1,0,0,0,1,Dos carencias,1
274,2 habitaciones,2 dormitorios,0,0,0,1,0,Tres a cuatro carencias,1
275,3 habitaciones,3 dormitorios,0,1,0,0,0,Tres a cuatro carencias,1
276,1 habitación,1 dormitorio,1,1,0,1,0,Cinco a más carencias,1
277,4 a 5 habitaciones,3 dormitorios,1,0,0,1,0,Tres a cuatro carencias,1
278,2 habitaciones,1 dormitorio,1,0,0,1,0,Cinco a más carencias,1
279,3 habitaciones,2 dormitorios,0,0,1,1,1,Cinco a más carencias,1
280,1 habitación,1 dormitorio,0,1,1,0,1,Tres a cuatro carencias,1
