habitabilidad_key,rango_habitaciones_total,rango_habitaciones_dormir,nbi_vivienda_inadecuada_ind,nbi_hacinamiento_ind,nbi_sin_servicio_higienico_ind,nbi_ninios_no_asisten_ind,nbi_alta_dependencia_ind,categoria_carencias,brecha_multidimensional_ind
103,6 a más habitaciones,3 dormitorios,0,0,0,0,0,Sin carencias,0
104,2 habitaciones,2 dormitorios,0,0,0,0,1,Una carencia,0
105,1 habitación,1 dormitorio,0,1,0,0,0,Cinco a más carencias,1
106,2 habitaciones,1 dormitorio,0,1,0,0,0,Cinco a más carencias,1
107,2 habitaciones,1 dormitorio,0,1,0,0,0,Tres a cuatro carencias,1
108,2 habitaciones,1 dormitorio,0,0,0,0,1,Tres a cuatro carencias,1
109,No especificado,No especificado,0,0,0,0,0,Sin carencias,0
110,4 a 5 habitaciones,1 dormitorio,0,0,0,0,0,Sin carencias,0
111,3 habitaciones,1 dormitorio,0,0,1,0,0,Dos carencias,1
112,3 habitaciones,3 dormitorios,0,0,0,0,0,Cinco a más carencias,1
113,3 habitaciones,1 dormitorio,0,0,1,0,0,Tres a cuatro carencias,1
114,2 habitaciones,2 dormitorios,0,1,1,0,1,Cinco a más carencias,1
115,3 habitaciones,2 dormitorios,0,0,1,0,0,Cinco a más carencias,1
116,1 habitación,1 dormitorio,1,0,1,0,0,Tres a cuatro carencias,1
117,6 a más habitaciones,3 dormitorios,0,0,0,0,0,Dos carencias,1
118,3 habitaciones,3 dormitorios,0,0,0,0,0,Una carencia,0
119,6 a más habitaciones,2 dormitorios,0,0,1,0,0,Tres a cuatro carencias,1
120,4 a 5 habitaciones,1 dormitorio,1,0,1,0,0,Cinco a más carencias,1
121,2 habitaciones,1 dormitorio,0,0,1,0,0,Cinco a más carencias,1
122,1 habitación,1 dormitorio,0,0,1,0,0,Dos carencias,1
123,6 a más habitaciones,1 dormitorio,0,0,1,0,0,Tres a cuatro carencias,1
124,4 a 5 habitaciones,2 dormitorios,0,0,0,0,1,Dos carencias,1
125,1 habitación,1 dormitorio,1,0,0,0,0,Dos carencias,1
126,3 habitaciones,2 dormitorios,0,0,1,0,0,Dos carencias,1
127,1 habitación,1 dormitorio,0,1,1,0,0,Cinco a más carencias,1
128,6 a más habitaciones,1 dormitorio,0,0,1,0,0,Cinco a más carencias,1
129,3 habitaciones,1 dormitorio,1,0,0,0,0,Dos carencias,1
130,4 a 5 habitaciones,1 dormitorio,0,0,0,0,0,Cinco a más carencias,1
131,2 habitaciones,2 dormitorios,1,0,0,0,0,Una carencia,0
132,4 a 5 habitaciones,2 dormitorios,1,0,0,0,0,Dos carencias,1
133,4 a 5 habitaciones,2 dormitorios,0,0,1,0,0,Dos carencias,1
134,1 habitación,1 dormitorio,1,1,1,0,0,Cinco a más carencias,1
135,2 habitaciones,1 dormitorio,0,1,1,0,0,Cinco a más carencias,1
136,2 habitaciones,2 dormitorios,0,0,1,0,0,Cinco a más carencias,1
137,6 a más habitaciones,4 a más dormitorios,1,0,1,0,0,Tres a cuatro carencias,1
138,2 habitaciones,2 dormitorios,0,1,0,0,0,Dos carencias,1
139,2 habitaciones,2 dormitorios,0,0,0,0,1,Tres a cuatro carencias,1
140,4 a 5 habitaciones,2 dormitorios,0,0,1,0,0,Cinco a más carencias,1
141,6 a más habitaciones,2 dormitorios,0,0,1,0,0,Cinco a más carencias,1
142,No especificado,No especificado,0,0,0,0,0,Tres a cuatro carencias,1
143,No especificado,No especificado,0,1,0,0,0,Una carencia,0
144,4 a 5 habitaciones,4 a más dormitorios,1,0,0,0,0,Tres a cuatro carencias,1
145,No especificado,No especificado,0,0,0,0,0,Dos carencias,1
146,4 a 5 habitaciones,4 a más dormitorios,0,0,1,0,0,Tres a cuatro carencias,1
147,No especificado,No especificado,0,0,1,0,0,Dos carencias,1
148,No especificado,No especificado,1,0,0,0,0,Dos carencias,1
149,6 a más habitaciones,4 a más dormitorios,0,0,1,0,0,Dos carencias,1
150,1 habitación,1 dormitorio,1,1,1,0,0,Tres a cuatro carencias,1
151,6 a más habitaciones,4 a más dormitorios,0,0,1,0,0,Una carencia,0
152,3 habitaciones,2 dormitorios,1,0,0,0,0,Cinco a más carencias,1
153,1 habitación,1 dormitorio,1,1,0,0,1,Cinco a más carencias,1
154,1 habitación,1 dormitorio,0,1,0,1,0,Cinco a más carencias,1
155,4 a 5 habitaciones,2 dormitorios,0,0,1,0,1,Cinco a más carencias,1
156,2 habitaciones,1 dormitorio,1,0,1,1,0,Cinco a más carencias,1
157,2 habitaciones,1 dormitorio,0,1,1,1,0,Cinco a más carencias,1
158,4 a 5 habitaciones,3 dormitorios,1,0,1,0,0,Cinco a más carencias,1
159,4 a 5 habitaciones,4 a más dormitorios,0,0,1,0,0,Cinco a más carencias,1
160,2 habitaciones,1 dormitorio,0,0,0,0,1,Cinco a más carencias,1
161,3 habitaciones,3 dormitorios,1,0,0,0,0,Una carencia,0
162,6 a más habitaciones,2 dormitorios,0,0,0,0,0,Sin carencias,0
163,3 habitaciones,3 dormitorios,1,1,1,1,0,Tres a cuatro carencias,1
164,2 habitaciones,1 dormitorio,1,0,1,0,0,Tres a cuatro carencias,1
165,2 habitaciones,1 dormitorio,0,1,0,0,0,Dos carencias,1
166,4 a 5 habitaciones,3 dormitorios,0,0,1,0,0,Tres a cuatro carencias,1
